time,lat,lon,depth,HL4PCR_Chisholm,Unit,picoprokaryote,picoprokaryote_std,target_unit
2010-11-19T00:00:00,-20.0834,-70.7997,5,0.65,[cells/mL],0.5075319036841393,0.021552997532072193, [mmol C/m^3]
2010-11-19T00:00:00,-20.0834,-70.7997,9,0.65,[cells/mL],0.5075319036841393,0.021552997532072193, [mmol C/m^3]
2010-11-19T00:00:00,-20.0834,-70.7997,13,0.65,[cells/mL],0.49963463470339775,0.02014523801926814, [mmol C/m^3]
2010-11-19T00:00:00,-20.0834,-70.7997,20,5.0,[cells/mL],0.47666994854807854,0.028982606414335865, [mmol C/m^3]
2010-11-19T00:00:00,-20.0834,-70.7997,22,0.65,[cells/mL],0.4537052623927593,0.013737481840137804, [mmol C/m^3]
2010-11-19T00:00:00,-20.0834,-70.7997,36,0.65,[cells/mL],0.36676083505153656,0.026981088068850318, [mmol C/m^3]
2010-11-19T00:00:00,-20.0834,-70.7997,48,0.65,[cells/mL],0.18987477757036686,0.03339156375156435, [mmol C/m^3]
2010-11-19T00:00:00,-20.0834,-70.7997,55,0.65,[cells/mL],0.06386755220592022,0.019246761114904046, [mmol C/m^3]
2010-11-19T00:00:00,-20.0834,-70.7997,100,0.65,[cells/mL],2.349178936356111e-05,1.8841334463282355e-05, [mmol C/m^3]
2010-11-25T00:00:00,-21.1774666666666,-76.5726,10,0.65,[cells/mL],0.41434423439204693,0.018751239055395504, [mmol C/m^3]
2010-11-25T00:00:00,-21.1774666666666,-76.5726,20,0.65,[cells/mL],0.3967036008834839,0.021268471594032896, [mmol C/m^3]
2010-11-25T00:00:00,-21.1774666666666,-76.5726,24,0.65,[cells/mL],0.3807668052613735,0.006399244732695313, [mmol C/m^3]
2010-11-25T00:00:00,-21.1774666666666,-76.5726,27,0.65,[cells/mL],0.3807668052613735,0.006399244732695313, [mmol C/m^3]
2010-11-25T00:00:00,-21.1774666666666,-76.5726,37,0.65,[cells/mL],0.3487325869500637,0.0061769751658981575, [mmol C/m^3]
2010-11-25T00:00:00,-21.1774666666666,-76.5726,50,0.65,[cells/mL],0.295012672431767,0.031820848799176855, [mmol C/m^3]
2010-11-25T00:00:00,-21.1774666666666,-76.5726,65,0.65,[cells/mL],0.1829936970025301,0.024804411001391066, [mmol C/m^3]
2010-11-25T00:00:00,-21.1774666666666,-76.5726,75,0.65,[cells/mL],0.10710087046027184,0.021497023071953326, [mmol C/m^3]
2010-11-25T00:00:00,-21.1774666666666,-76.5726,100,0.65,[cells/mL],0.03319915826432407,0.008862185821977734, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,23,0.65,[cells/mL],0.26875247806310654,0.022527399027863472, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,45,0.65,[cells/mL],0.2429693154990673,0.02076281598650292, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,60,0.65,[cells/mL],0.22909878753125668,0.016680763600185913, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,80,0.65,[cells/mL],0.20412222854793072,0.00958723524220124, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,100,0.65,[cells/mL],0.17427965253591537,0.0128054634995531, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,120,0.65,[cells/mL],0.14038032572716475,0.015401523304487916, [mmol C/m^3]
2010-11-27T00:00:00,-22.26095,-82.3478833333333,200,0.65,[cells/mL],,, [mmol C/m^3]
2010-11-29T00:00:00,-23.4585,-88.76815,14,1.0,[cells/mL],0.1820925660431385,0.014829309390014457, [mmol C/m^3]
2010-11-29T00:00:00,-23.4585,-88.76815,27,0.65,[cells/mL],0.18150907009840012,0.014400590946777488, [mmol C/m^3]
2010-11-29T00:00:00,-23.4585,-88.76815,37,4.0,[cells/mL],0.17516891285777092,0.008991451712490679, [mmol C/m^3]
2010-11-29T00:00:00,-23.4585,-88.76815,69,10.0,[cells/mL],0.14882078021764755,0.004714610486553271, [mmol C/m^3]
2010-11-29T00:00:00,-23.4585,-88.76815,90,0.65,[cells/mL],0.14302784204483032,0.00427416529127694, [mmol C/m^3]
2010-11-29T00:00:00,-23.4585,-88.76815,112,0.65,[cells/mL],0.13689292967319489,0.0035005875169824576, [mmol C/m^3]
2010-11-29T00:00:00,-23.4585,-88.76815,150,1.0,[cells/mL],0.1241836417466402,0.0007199053782993568, [mmol C/m^3]
2010-11-29T00:00:00,-23.4585,-88.76815,190,0.65,[cells/mL],0.07668548822402954,0.010066648602185299, [mmol C/m^3]
2010-12-04T00:00:00,-24.560266666666603,-94.7247333333333,10,0.65,[cells/mL],0.1565251685678959,0.010718594541217485, [mmol C/m^3]
2010-12-04T00:00:00,-24.560266666666603,-94.7247333333333,40,0.65,[cells/mL],0.14999588252976537,0.01760005511423115, [mmol C/m^3]
2010-12-04T00:00:00,-24.560266666666603,-94.7247333333333,70,0.65,[cells/mL],0.13338709715753794,0.022152274769121617, [mmol C/m^3]
2010-12-04T00:00:00,-24.560266666666603,-94.7247333333333,100,0.65,[cells/mL],0.12557906564325094,0.020779607308768235, [mmol C/m^3]
2010-12-04T00:00:00,-24.560266666666603,-94.7247333333333,130,0.65,[cells/mL],0.12081029266119003,0.018632189927300567, [mmol C/m^3]
2010-12-04T00:00:00,-24.560266666666603,-94.7247333333333,160,0.65,[cells/mL],,, [mmol C/m^3]
2010-12-04T00:00:00,-24.560266666666603,-94.7247333333333,190,0.65,[cells/mL],0.09299310110509396,0.006684928626867253, [mmol C/m^3]
2010-12-04T00:00:00,-24.560266666666603,-94.7247333333333,220,0.65,[cells/mL],0.06283719185739756,0.030882741735589914, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,17,0.65,[cells/mL],0.1505629327148199,0.0067696022348256646, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,34,0.65,[cells/mL],0.14914333075284958,0.007551802924797458, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,65,0.65,[cells/mL],0.1142015466466546,0.026811692706937833, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,86,0.65,[cells/mL],0.10682493261992931,0.02523966117014112, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,113,0.65,[cells/mL],0.10323603637516499,0.023903886896572805, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,125,0.65,[cells/mL],0.10275985393673182,0.02367764459321944, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,170,0.65,[cells/mL],0.09813988488167524,0.01852441025657561, [mmol C/m^3]
2010-12-06T00:00:00,-25.55115,-100.135583333333,200,0.65,[cells/mL],,, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,14,0.65,[cells/mL],0.11402401700615883,0.00403232024127982, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,28,0.65,[cells/mL],0.11379102617502213,0.0041167850355170715, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,39,0.65,[cells/mL],0.11310712061822414,0.0043572013667416325, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,54,0.65,[cells/mL],0.09957065246999264,0.008851669766149137, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,71,0.65,[cells/mL],0.09652581065893173,0.011159898358224942, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,94,0.65,[cells/mL],0.09676339849829674,0.011529996197196185, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,140,0.65,[cells/mL],0.09802002087235451,0.01106250789489881, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,180,0.65,[cells/mL],,, [mmol C/m^3]
2010-12-08T00:00:00,-26.248983333333307,-103.95845,250,0.65,[cells/mL],,, [mmol C/m^3]
